"City","Mortality","Precip","Humidity","JanTemp","JulyTemp","Over65","Educ","Density","NonWhite","Poor","SO2"
"San Jose, CA",790.73,13,71,49,68,7,12.2,2702,3,9.7,3
"Wichita, KS",823.76,28,54,32,81,7,12.1,3665,7.5,13.2,1
"San Diego, CA",839.71,10,61,55,70,7.3,12.1,3033,5.9,14,20
"Lancaster, PA",844.05,43,54,32,74,10.1,9.5,3214,2.9,12,32
"Minneapolis, MN",857.62,25,58,12,73,9.2,12.1,2095,2,9.8,26
"Dallas, TX",860.1,35,54,46,85,7.1,11.8,1441,14.8,16.1,1
"Miami, FL",861.44,60,60,67,82,10,11.5,4657,13.5,22.4,1
"Los Angeles, CA",861.83,11,47,53,68,9.2,12.1,4700,7.8,12.3,130
"Grand Rapids, MI",871.34,31,61,24,72,9,10.9,3226,5.1,12.3,10
"Denver, CO",871.77,15,38,30,73,8.2,12.2,4824,4.7,12.7,28
"Rochester, NY",874.28,32,60,25,72,10.9,11.1,4355,5,10.8,18
"Hartford, CT",887.47,43,56,27,72,9,11.5,2909,7.2,9.5,10
"Fort Worth, TX",891.71,31,53,45,85,7.3,11.4,1844,11.5,18.5,1
"Portland, OR",893.99,37,73,38,67,11.3,12,3387,3.6,13.5,44
"Worcester, MA",895.7,45,56,24,70,11.8,11.1,3678,1,14,8
"Seattle, WA",899.26,35,72,40,64,9.6,12.2,3626,5.7,10.1,20
"Bridgeport, CT",899.53,45,56,30,73,9.3,10.6,2140,5.3,10.5,4
"Springfield, MA",904.16,45,56,28,74,10.6,11.1,1883,3.4,12.3,20
"San Francisco, CA",911.7,18,71,48,63,9.2,12.2,4253,13.7,12,86
"York, PA",911.82,42,54,33,76,9.7,9,9699,4.8,14.5,49
"Utica, NY",912.2,40,60,23,71,11.3,10.3,1671,2.5,13.5,11
"Canton, OH",912.35,36,59,27,72,9.5,10.7,4213,6.7,13.2,20
"Kansas City, MO",919.73,35,55,31,81,9.2,12,3262,12.6,13.9,4
"Akron, OH",921.87,36,59,27,71,8.1,11.4,3243,8.8,11.7,59
"New Haven, CT",923.23,46,58,30,72,10.2,11.3,3327,8.8,12.2,8
"Milwaukee, WI",929.15,30,64,20,69,8.8,11.1,2934,5.8,9.4,125
"Boston, MA",934.7,43,56,30,74,10.9,12.1,4679,3.5,11.3,62
"Dayton, OH",936.23,36,58,30,75,7.5,11.4,4029,12.4,12,16
"Providence, RI",938.5,42,56,29,72,10.7,10.1,3508,2.2,15.7,18
"Flint, MI",941.18,30,61,24,72,6.5,10.8,3694,13.1,12.4,11
"Reading, PA",946.18,41,54,33,77,11.2,9.6,4843,2.7,14.1,89
"Syracuse, NY",950.67,38,61,24,72,9.8,11.4,4923,3.8,11.1,25
"Houston, TX",952.53,46,59,55,84,5.6,11.4,2647,21,17.9,1
"Saint Louis, MO",953.56,34,57,32,79,9.3,9.7,5160,17.2,15.3,68
"Youngstown, OH",954.44,38,58,28,72,8.9,10.7,3451,11.7,13,39
"Columbus, OH",958.84,37,58,31,75,8,11.9,4259,13.1,13.9,15
"Detroit, MI",959.22,31,59,27,74,7.2,10.8,4834,15.8,13.6,124
"Nashville, TN",961.01,45,56,40,80,8.3,10.1,2682,21,24.1,78
"Allentown, PA",962.35,44,54,29,74,10.4,9.8,4260,0.8,12.4,33
"Washington, DC",967.8,41,52,37,78,6.2,12.3,5308,25.9,10.3,102
"Indianapolis, IN",968.66,39,60,29,75,8.7,11.4,4412,15.6,13.2,33
"Cincinnati, OH",970.47,40,57,34,77,9.2,10.2,4101,13,15.1,146
"Greeensboro, NC",971.12,42,53,40,77,6.1,10.4,2269,22.7,19.5,5
"Toledo, OH",972.46,31,59,26,73,9.3,10.7,3249,9.5,13.6,25
"Atlanta, GA",982.29,47,56,45,79,6.5,11.1,3125,27.1,20.6,24
"Cleveland, OH",985.95,35,60,28,71,8.8,11.1,3042,14.7,11.4,64
"Louisville, KY",989.27,30,57,35,71,8.3,9.9,4474,13.1,17.7,193
"Pittsburgh, PA",991.29,36,56,29,72,9.5,10.6,3437,8.1,13.8,263
"New York, NY",994.65,42,58,33,77,9.7,10.7,7462,11.3,12.4,108
"Albany, NY",997.88,35,57,23,72,11.1,11,4281,3.5,14.4,39
"Buffalo, NY",1001.9,36,61,24,70,9,10.5,6582,8.1,12.6,37
"Wilmington, DE",1003.5,45,56,33,76,7.7,11.3,3152,12.1,10.9,42
"Memphis, TN",1006.49,50,59,42,82,7.3,10.4,3497,36.7,26.4,34
"Philadelphia, PA",1015.02,42,54,32,76,9.1,10.5,6092,17.5,13.2,161
"Chattanooga, TN",1017.61,52,56,42,79,7.7,9.6,2302,22.2,24.2,27
"Chicago, IL",1024.89,33,58,26,76,8.6,10.9,6122,16.3,10.7,278
"Richmond, VA",1025.5,44,53,39,78,8.2,11,3768,28.6,17.5,48
"Birmingham, AL",1030.38,53,54,45,80,7.7,10.2,3235,38.5,25.5,72
"Baltimore, MD",1071.29,43,55,35,77,7.6,9.6,6441,24.4,14.3,206
"New Orleans, LA",1113.06,54,62,54,81,7.4,9.7,3172,31.4,24.2,1
